[19/12/2012 | 14:24:55] Troke Spawned a "Elegy" (Model:562) Colours (94, 99), Pos: X:416.35, Y:-1550.08, Z:29.21
[19/12/2012 | 20:31:15] Troke Spawned a "Speeder" (Model:452) Colours (67, 8), Pos: X:118.43, Y:-1793.67, Z:-0.49
[19/12/2012 | 20:35:21] Troke Spawned a "Speeder" (Model:452) Colours (59, 7), Pos: X:147.28, Y:-1835.05, Z:4.35
[20/12/2012 | 18:34:57] Troke Spawned a "Monster" (Model:444) Colours (55, 47), Pos: X:2151.40, Y:-1297.86, Z:23.48
[20/12/2012 | 18:38:56] Troke Spawned a "Elegant" (Model:507) Colours (125, 57), Pos: X:1620.31, Y:-2258.57, Z:13.33
[20/12/2012 | 18:39:01] Troke Spawned a "Elegy" (Model:562) Colours (8, 82), Pos: X:1619.99, Y:-2256.48, Z:13.33
[20/12/2012 | 18:44:40] Troke Spawned a "Speeder" (Model:452) Colours (124, 29), Pos: X:152.72, Y:-2003.79, Z:-0.64
[20/12/2012 | 18:44:54] Troke Spawned a "Speeder" (Model:452) Colours (87, 80), Pos: X:152.89, Y:-2005.73, Z:3.46
[20/12/2012 | 18:45:35] Troke Spawned a "Speeder" (Model:452) Colours (37, 100), Pos: X:187.00, Y:-2014.04, Z:8.66
[20/12/2012 | 18:48:43] Troke Spawned a "Marquis" (Model:484) Colours (123, 20), Pos: X:-38.93, Y:-2374.07, Z:-53.19
[21/12/2012 | 15:20:42] Troke Spawned a "Pizzaboy" (Model:448) Colours (10, 106), Pos: X:-2024.38, Y:137.54, Z:28.84
[21/12/2012 | 15:37:21] Troke Spawned a "Sultan" (Model:560) Colours (14, 68), Pos: X:-2602.56, Y:923.03, Z:65.18
[21/12/2012 | 15:37:23] Troke Spawned a "Sultan" (Model:560) Colours (31, 71), Pos: X:-2602.11, Y:914.56, Z:64.82
[21/12/2012 | 15:37:27] Troke Spawned a "Sultan" (Model:560) Colours (35, 114), Pos: X:-2606.77, Y:908.18, Z:64.82
[21/12/2012 | 15:37:30] Troke Spawned a "Sultan" (Model:560) Colours (93, 94), Pos: X:-2611.55, Y:902.38, Z:64.82
[21/12/2012 | 15:37:32] Troke Spawned a "Sultan" (Model:560) Colours (52, 31), Pos: X:-2615.65, Y:910.00, Z:64.82
[21/12/2012 | 15:37:35] Troke Spawned a "Sultan" (Model:560) Colours (97, 45), Pos: X:-2617.69, Y:906.36, Z:64.97
[21/12/2012 | 15:37:38] Troke Spawned a "Sultan" (Model:560) Colours (107, 88), Pos: X:-2615.23, Y:915.82, Z:64.98
[21/12/2012 | 15:37:41] Troke Spawned a "Sultan" (Model:560) Colours (14, 37), Pos: X:-2611.37, Y:922.06, Z:65.07
[21/12/2012 | 15:47:24] Troke Spawned a "Hydra" (Model:520) Colours (57, 53), Pos: X:-1022.62, Y:-918.62, Z:143.83
[21/12/2012 | 15:48:44] Troke Spawned a "Hydra" (Model:520) Colours (43, 109), Pos: X:-2046.89, Y:-418.32, Z:68.51
[21/12/2012 | 15:52:03] Troke Spawned a "Monster" (Model:444) Colours (115, 9), Pos: X:1300.05, Y:1374.19, Z:10.82
[21/12/2012 | 17:06:07] Troke Spawned a "Moonbeam" (Model:418) Colours (65, 103), Pos: X:406.17, Y:-1541.99, Z:32.27
[21/12/2012 | 17:22:38] Troke Spawned a "Moonbeam" (Model:418) Colours (118, 71), Pos: X:426.02, Y:-1770.99, Z:5.28
[21/12/2012 | 17:24:38] Troke Spawned a "Sabre" (Model:475) Colours (125, 116), Pos: X:494.61, Y:-1888.93, Z:2.31
[21/12/2012 | 17:31:18] Troke Spawned a "Monster" (Model:444) Colours (24, 23), Pos: X:-297.86, Y:1518.17, Z:75.35
[21/12/2012 | 17:34:22] Troke Spawned a "Monster" (Model:444) Colours (79, 87), Pos: X:1300.05, Y:1374.19, Z:10.82
[21/12/2012 | 17:36:04] Troke Spawned a "Monster" (Model:444) Colours (40, 46), Pos: X:1930.18, Y:1703.88, Z:10.82
[21/12/2012 | 18:38:59] Troke Spawned a "Police Maverick" (Model:497) Colours (93, 77), Pos: X:420.65, Y:-1557.43, Z:27.57
[21/12/2012 | 18:39:05] Troke Spawned a "Police Maverick" (Model:497) Colours (0, 117), Pos: X:423.18, Y:-1561.66, Z:27.57
[21/12/2012 | 19:27:47] Troke Spawned a "NRG-500" (Model:522) Colours (111, 2), Pos: X:-1668.62, Y:1016.38, Z:7.92
[21/12/2012 | 19:27:53] Troke Spawned a "NRG-500" (Model:522) Colours (20, 79), Pos: X:-1667.92, Y:1019.18, Z:7.92
[21/12/2012 | 19:27:57] Troke Spawned a "NRG-500" (Model:522) Colours (21, 105), Pos: X:-1670.70, Y:1018.47, Z:7.92
[21/12/2012 | 19:28:01] Troke Spawned a "NRG-500" (Model:522) Colours (36, 18), Pos: X:-1669.80, Y:1014.90, Z:7.92
[21/12/2012 | 19:28:04] Troke Spawned a "NRG-500" (Model:522) Colours (56, 16), Pos: X:-1668.31, Y:1017.54, Z:7.92
[21/12/2012 | 19:28:04] Troke Spawned a "NRG-500" (Model:522) Colours (22, 80), Pos: X:-1668.31, Y:1017.54, Z:7.92
[21/12/2012 | 19:28:05] Troke Spawned a "NRG-500" (Model:522) Colours (81, 88), Pos: X:-1668.31, Y:1017.54, Z:7.92
[21/12/2012 | 19:28:05] Troke Spawned a "NRG-500" (Model:522) Colours (125, 35), Pos: X:-1668.31, Y:1017.54, Z:7.92
[21/12/2012 | 19:28:06] Troke Spawned a "NRG-500" (Model:522) Colours (75, 88), Pos: X:-1668.31, Y:1017.54, Z:7.92
[21/12/2012 | 19:28:07] Troke Spawned a "NRG-500" (Model:522) Colours (2, 62), Pos: X:-1668.31, Y:1017.54, Z:7.92
[21/12/2012 | 19:28:07] Troke Spawned a "NRG-500" (Model:522) Colours (18, 30), Pos: X:-1668.31, Y:1017.54, Z:7.92
[21/12/2012 | 19:28:07] Troke Spawned a "NRG-500" (Model:522) Colours (68, 41), Pos: X:-1668.31, Y:1017.54, Z:7.92
[21/12/2012 | 19:28:08] Troke Spawned a "NRG-500" (Model:522) Colours (78, 74), Pos: X:-1668.31, Y:1017.54, Z:7.92
[21/12/2012 | 19:28:08] Troke Spawned a "NRG-500" (Model:522) Colours (50, 82), Pos: X:-1668.31, Y:1017.54, Z:7.92
[21/12/2012 | 19:29:43] Troke Spawned a "BF Injection" (Model:424) Colours (122, 31), Pos: X:-1667.45, Y:1020.34, Z:7.92
[21/12/2012 | 19:29:48] Troke Spawned a "BF Injection" (Model:424) Colours (31, 63), Pos: X:-1668.25, Y:1025.16, Z:7.92
[21/12/2012 | 19:29:50] Troke Spawned a "BF Injection" (Model:424) Colours (95, 115), Pos: X:-1668.61, Y:1021.39, Z:7.92
[21/12/2012 | 19:29:57] Troke Spawned a "BF Injection" (Model:424) Colours (87, 78), Pos: X:-1668.61, Y:1021.39, Z:7.92
[21/12/2012 | 19:29:58] Troke Spawned a "BF Injection" (Model:424) Colours (24, 95), Pos: X:-1668.61, Y:1021.39, Z:7.92
[21/12/2012 | 19:29:59] Troke Spawned a "BF Injection" (Model:424) Colours (119, 101), Pos: X:-1668.61, Y:1021.39, Z:7.92
[21/12/2012 | 19:30:00] Troke Spawned a "BF Injection" (Model:424) Colours (0, 18), Pos: X:-1668.61, Y:1021.39, Z:7.92
[21/12/2012 | 19:30:00] Troke Spawned a "BF Injection" (Model:424) Colours (44, 67), Pos: X:-1668.61, Y:1021.39, Z:7.92
[21/12/2012 | 19:30:01] Troke Spawned a "BF Injection" (Model:424) Colours (99, 6), Pos: X:-1668.61, Y:1021.39, Z:7.92
[21/12/2012 | 19:30:01] Troke Spawned a "BF Injection" (Model:424) Colours (27, 113), Pos: X:-1668.61, Y:1021.39, Z:7.92
