[03/02/2013 | 18:49:05] CreateObject(2345, 220.06, 109.27, 1010.21, 0.00, 0.00, 174.78);
[10/02/2013 | 15:45:11] CreateObject(1348, -2308.23, -1631.40, 483.71, 0.00, 0.00, 80.88);
[10/02/2013 | 15:45:31] CreateObject(1348, -2310.89, -1630.71, 485.42, 0.00, 0.00, 80.88);
[10/02/2013 | 15:45:36] CreateObject(1348, -2313.58, -1630.28, 487.13, 0.00, 0.00, 80.88);
[10/02/2013 | 15:45:39] CreateObject(1348, -2315.73, -1629.93, 487.84, 0.00, 0.00, 80.88);
[10/02/2013 | 15:45:41] CreateObject(1348, -2319.50, -1629.33, 484.83, 0.00, 0.00, 80.88);
[10/02/2013 | 15:45:52] CreateObject(1348, -2316.38, -1630.48, 488.84, 0.00, 0.00, 80.88);
[10/02/2013 | 15:45:57] CreateObject(1348, -2318.53, -1630.14, 489.55, 0.00, 0.00, 80.88);
[10/02/2013 | 15:46:01] CreateObject(1348, -2319.07, -1630.05, 490.55, 0.00, 0.00, 80.88);
[10/02/2013 | 15:46:05] CreateObject(1348, -2321.76, -1629.62, 492.26, 0.00, 0.00, 80.88);
[10/02/2013 | 15:46:09] CreateObject(1348, -2324.46, -1629.18, 493.97, 0.00, 0.00, 80.88);
[10/02/2013 | 15:46:14] CreateObject(1348, -2327.15, -1628.75, 495.68, 0.00, 0.00, 80.88);
[10/02/2013 | 15:46:18] CreateObject(1348, -2329.84, -1628.32, 497.39, 0.00, 0.00, 80.88);
[10/02/2013 | 15:46:22] CreateObject(1348, -2332.54, -1627.89, 499.10, 0.00, 0.00, 80.88);
[10/02/2013 | 15:46:25] CreateObject(1348, -2335.23, -1627.45, 500.81, 0.00, 0.00, 80.88);
[10/02/2013 | 15:46:28] CreateObject(1348, -2337.92, -1627.02, 502.52, 0.00, 0.00, 80.88);
[10/02/2013 | 15:46:32] CreateObject(1348, -2340.62, -1626.59, 504.23, 0.00, 0.00, 80.88);
