[30/12/2012 | 21:32:12] (Deleted) Tele: 1
[30/12/2012 | 21:33:31] (Created) Tele: Aso, Pos: X: -2044.510498,Y: -93.922088,Z: 35.171798,Ang:4.164523,Interior:0
[30/12/2012 | 21:35:52] (Created) Tele: Asu, Pos: X: -2723.190185,Y: -316.763244,Z: 7.187500,Ang:45.850116,Interior:0
[30/12/2012 | 21:38:54] (Created) Tele: Aiku, Pos: X: -1978.428222,Y: 472.978271,Z: 35.166126,Ang:88.500007,Interior:0
[30/12/2012 | 21:41:12] (Created) Tele: Asoo, Pos: X: -1604.077270,Y: 719.774047,Z: 11.703122,Ang:278.078674,Interior:0
[31/12/2012 | 13:18:23] (Created) Tele: Rumah VIP, Pos: X: 159.154983,Y: -104.809585,Z: 7.931072,Ang:267.053039,Interior:0
[04/01/2013 | 18:24:43] (Created) Tele: Kantor 1, Pos: X: 238.728179,Y: 138.871765,Z: 1003.023437,Ang:338.287170,Interior:3
[04/01/2013 | 18:25:28] (Created) Tele: Spawn, Pos: X: 238.167221,Y: 142.382202,Z: 1003.023437,Ang:3.288368,Interior:3
[05/01/2013 | 16:19:14] (Created) Tele: Pickup 1, Pos: X: 246.583496,Y: 107.307815,Z: 1003.218750,Ang:2.769938,Interior:10
[05/01/2013 | 16:19:21] (Deleted) Tele: Pickup 1
[05/01/2013 | 16:19:32] (Deleted) Tele: Kantor 1
[05/01/2013 | 16:19:36] (Deleted) Tele: Spawn
[05/01/2013 | 16:19:52] (Created) Tele: Spawn, Pos: X: 246.389633,Y: 110.552650,Z: 1003.218750,Ang:7.944036,Interior:10
[05/01/2013 | 16:22:16] (Created) Tele: pickup, Pos: X: -1753.853759,Y: 961.639831,Z: 24.882812,Ang:7.508173,Interior:0
[05/01/2013 | 16:22:41] (Created) Tele: Pickup 1, Pos: X: -1754.639160,Y: 964.123535,Z: 24.890625,Ang:351.435974,Interior:0
[05/01/2013 | 16:22:45] (Deleted) Tele: pickup
[05/01/2013 | 16:23:11] (Created) Tele: Pickup 2, Pos: X: 246.476470,Y: 107.329185,Z: 1003.218750,Ang:181.784332,Interior:10
[05/01/2013 | 16:26:40] (Created) Tele: Spawn 2, Pos: X: -1753.345581,Y: 957.547729,Z: 24.882812,Ang:189.097061,Interior:0
[09/01/2013 | 18:15:48] (Created) Tele: SPAWN 1, Pos: X: -2633.456298,Y: 1369.287841,Z: 7.115996,Ang:188.613464,Interior:0
[09/01/2013 | 18:17:10] (Created) Tele: SPAWN 2, Pos: X: -2850.152587,Y: 1027.744995,Z: 36.968971,Ang:92.262115,Interior:0
[09/01/2013 | 18:18:46] (Created) Tele: SPAWN 3, Pos: X: -2944.454833,Y: 472.559600,Z: 4.914062,Ang:268.789611,Interior:0
[09/01/2013 | 18:21:48] (Created) Tele: SPAWN 4, Pos: X: -2402.550781,Y: -593.887145,Z: 132.648437,Ang:123.111015,Interior:0
[09/01/2013 | 18:23:38] (Created) Tele: SPAWN 5, Pos: X: -2232.783447,Y: -1739.367919,Z: 481.037353,Ang:49.652198,Interior:0
[10/01/2013 | 12:54:30] (Created) Tele: SPAWN 6, Pos: X: -1813.241699,Y: 1317.641845,Z: 62.484375,Ang:181.023178,Interior:0
[10/01/2013 | 12:55:33] (Created) Tele: SPAWN 7, Pos: X: -1505.074584,Y: 922.124023,Z: 7.187500,Ang:85.939880,Interior:0
[10/01/2013 | 12:56:20] (Created) Tele: SPAWN 8, Pos: X: -1981.424804,Y: 882.966308,Z: 45.203125,Ang:263.285491,Interior:0
[10/01/2013 | 13:00:29] (Created) Tele: spawn 10, Pos: X: -2707.852783,Y: 378.175170,Z: 11.979453,Ang:178.254028,Interior:0
[18/01/2013 | 21:40:02] (Created) Tele: VIP HOUSE, Pos: X: 2596.833984,Y: 767.619445,Z: 12.184406,Ang:184.632324,Interior:0
[27/01/2013 | 21:02:42] (Created) Tele: CAMHEIGHT, Pos: X: 2483.472167,Y: 1527.763549,Z: 11.136783,Ang:318.226348,Interior:0
[27/01/2013 | 22:58:44] (Created) Tele: ASEAEAWEA, Pos: X: -1734.899536,Y: -580.837707,Z: 35.728515,Ang:83.626449,Interior:0
[03/02/2013 | 15:32:56] (Created) Tele: KAMPUNG, Pos: X: 755.414367,Y: 332.615447,Z: 20.254943,Ang:193.216384,Interior:0
[03/02/2013 | 16:09:26] (Created) Tele: PERUMAHAN, Pos: X: 1997.216796,Y: 712.234985,Z: 25.783134,Ang:281.322296,Interior:0
[03/02/2013 | 18:40:59] (Created) Tele: ICON1, Pos: X: -1606.309082,Y: 672.061706,Z: -4.906250,Ang:181.022979,Interior:0
[03/02/2013 | 18:42:46] (Created) Tele: ICON2, Pos: X: 288.851989,Y: 166.923919,Z: 1007.171875,Ang:167.123443,Interior:3
[03/02/2013 | 18:44:32] (Created) Tele: ICONCIA, Pos: X: -1715.818481,Y: 1018.054138,Z: 17.917835,Ang:281.099090,Interior:0
[03/02/2013 | 18:50:35] (Created) Tele: ICONCIA2, Pos: X: 231.062637,Y: 107.437065,Z: 1010.218750,Ang:185.662765,Interior:10
[03/02/2013 | 19:54:56] (Created) Tele: SPAWN GETDSPD, Pos: X: 288.720489,Y: 172.198348,Z: 1007.179443,Ang:12.916464,Interior:3
[03/02/2013 | 19:55:49] (Created) Tele: SPAWN GET2, Pos: X: -1606.648193,Y: 678.195312,Z: -5.242187,Ang:357.893005,Interior:0
[03/02/2013 | 19:57:08] (Created) Tele: GETOUT CIA, Pos: X: -1719.626708,Y: 1018.559936,Z: 17.585937,Ang:260.114837,Interior:0
[03/02/2013 | 19:57:59] (Created) Tele: GETIN CIA, Pos: X: 229.042617,Y: 114.233032,Z: 1010.218750,Ang:338.601928,Interior:10
[05/02/2013 | 19:48:23] (Created) Tele: MAULANA, Pos: X: 141.989608,Y: 3022.134521,Z: 5.530700,Ang:81.450347,Interior:0
[18/02/2013 | 18:36:33] (Created) Tele: MADCbaseLVdown, Pos: X: 2057.949462,Y: 2441.993652,Z: 10.820312,Ang:191.531829,Interior:0
[18/02/2013 | 18:42:40] (Created) Tele: MADCbaseLVup, Pos: X: 2073.497314,Y: 2438.766845,Z: 49.522216,Ang:185.891860,Interior:0
[18/02/2013 | 18:43:12] (Created) Tele: MADCbase, Pos: X: 2178.911376,Y: 2417.061035,Z: 73.033859,Ang:84.539375,Interior:0
[18/02/2013 | 18:46:00] (Created) Tele: MADCPIER69, Pos: X: -1704.701660,Y: 1338.855346,Z: 7.180032,Ang:315.725463,Interior:0
